Ticker,Company
SHLX,"Shell Midstream Partners, L.P"
SBOW,"SilverBow Resources, Inc"
SHI,Sinopec Shanghai Petrochemical Company Limited
SND,"Smart Sand, Inc"
SM,SM Energy Company
SOI,"Solaris Oilfield Infrastructure, Inc"
SWN,Southwestern Energy Company
SRLP,Sprague Resources LP
SGU,"Star Group, L.P"
SMLP,"Summit Midstream Partners, LP"
SU,Suncor Energy Inc
SNDE,Sundance Energy Australia Limited
SUN,Sunoco LP
SDPI,"Superior Drilling Products, Inc"
TALO,Talos Energy Inc
TRGP,Targa Resources Corp
TH,Target Hospitality Corp
TRNX,"Taronis Technologies, Inc"
TRP,TC Energy Corporation
TCP,"TC PipeLines, LP"
FTI,TechnipFMC plc
TK,Teekay Corporation
TGP,Teekay LNG Partners L.P
TNK,Teekay Tankers Ltd
TELL,Tellurian Inc
TS,Tenaris S.A
TGC,"Tengasco, Inc"
TTI,"TETRA Technologies, Inc"
TPL,Texas Pacific Land Trust
WMB,"The Williams Companies, Inc"
TDW,Tidewater Inc
TRCH,"Torchlight Energy Resources, Inc"
TRMD,TORM plc
TOT,TOTAL S.A
TAT,TransAtlantic Petroleum Ltd
TGA,TransGlobe Energy Corporation
RIG,Transocean Ltd
TGS,Transportadora de Gas del Sur S.A
TNP,Tsakos Energy Navigation Limited
BROG,Twelve Seas Investment Company
UGP,Ultrapar Participacoes S.A
UEC,Uranium Energy Corp
URG,Ur-Energy Inc
USAC,"USA Compression Partners, LP"
USEG,U.S. Energy Corp
SLCA,"U.S. Silica Holdings, Inc"
USWS,"U.S. Well Services, Inc"
EGY,"VAALCO Energy, Inc"
VAL,Valaris plc
VLO,Valero Energy Corporation
VVV,Valvoline Inc
VET,Vermilion Energy Inc
VTNR,"Vertex Energy, Inc"
VNOM,Viper Energy Partners LP
VIST,"Vista Oil & Gas, S.A.B. de C.V"
VOC,VOC Energy Trust
WES,"Western Midstream Partners, LP"
WLL,Whiting Petroleum Corporation
INT,World Fuel Services Corporation
WPX,"WPX Energy, Inc"
WTI,"W&T Offshore, Inc"
YPF,YPF Sociedad Anónima
ZN,"Zion Oil & Gas, Inc"
